,sid,gcm,decadal_group,direction_class,speed_range,count,frequency
81,PADK,CCSM4,1,14,14-18,663,0.25
82,PADK,CCSM4,1,14,18-22,537,0.2
83,PADK,CCSM4,1,14,22+,1112,0.42
84,PADK,CCSM4,1,15,0-6,824,0.31
85,PADK,CCSM4,1,15,6-10,873,0.33
86,PADK,CCSM4,1,15,10-14,910,0.35
87,PADK,CCSM4,1,15,14-18,749,0.29
88,PADK,CCSM4,1,15,18-22,588,0.22
89,PADK,CCSM4,1,15,22+,991,0.38
90,PADK,CCSM4,1,16,0-6,844,0.32
91,PADK,CCSM4,1,16,6-10,1023,0.39
92,PADK,CCSM4,1,16,10-14,1071,0.41
93,PADK,CCSM4,1,16,14-18,774,0.29
94,PADK,CCSM4,1,16,18-22,657,0.25
95,PADK,CCSM4,1,16,22+,1216,0.46
96,PADK,CCSM4,1,17,0-6,883,0.34
97,PADK,CCSM4,1,17,6-10,1057,0.4
98,PADK,CCSM4,1,17,10-14,1125,0.43
99,PADK,CCSM4,1,17,14-18,819,0.31
100,PADK,CCSM4,1,17,18-22,614,0.23
101,PADK,CCSM4,1,17,22+,1245,0.47
102,PADK,CCSM4,1,18,0-6,941,0.36
103,PADK,CCSM4,1,18,6-10,1160,0.44
104,PADK,CCSM4,1,18,10-14,1304,0.5
105,PADK,CCSM4,1,18,14-18,917,0.35
106,PADK,CCSM4,1,18,18-22,649,0.25
107,PADK,CCSM4,1,18,22+,1236,0.47
108,PADK,CCSM4,1,19,0-6,947,0.36
109,PADK,CCSM4,1,19,6-10,1353,0.51
110,PADK,CCSM4,1,19,10-14,1507,0.57
111,PADK,CCSM4,1,19,14-18,1287,0.49
112,PADK,CCSM4,1,19,18-22,902,0.34
113,PADK,CCSM4,1,19,22+,1276,0.49
114,PADK,CCSM4,1,20,0-6,1028,0.39
115,PADK,CCSM4,1,20,6-10,1511,0.57
116,PADK,CCSM4,1,20,10-14,1788,0.68
117,PADK,CCSM4,1,20,14-18,1446,0.55
118,PADK,CCSM4,1,20,18-22,1077,0.41
119,PADK,CCSM4,1,20,22+,1534,0.58
120,PADK,CCSM4,1,21,0-6,1148,0.44
121,PADK,CCSM4,1,21,6-10,1678,0.64
122,PADK,CCSM4,1,21,10-14,1943,0.74
123,PADK,CCSM4,1,21,14-18,1627,0.62
124,PADK,CCSM4,1,21,18-22,1381,0.53
125,PADK,CCSM4,1,21,22+,1610,0.61
126,PADK,CCSM4,1,22,0-6,1248,0.47
127,PADK,CCSM4,1,22,6-10,1893,0.72
128,PADK,CCSM4,1,22,10-14,2406,0.92
129,PADK,CCSM4,1,22,14-18,2043,0.78
130,PADK,CCSM4,1,22,18-22,1516,0.58
131,PADK,CCSM4,1,22,22+,1655,0.63
132,PADK,CCSM4,1,23,0-6,1374,0.52
133,PADK,CCSM4,1,23,6-10,2297,0.87
134,PADK,CCSM4,1,23,10-14,2807,1.07
135,PADK,CCSM4,1,23,14-18,2211,0.84
136,PADK,CCSM4,1,23,18-22,1746,0.66
137,PADK,CCSM4,1,23,22+,1756,0.67
138,PADK,CCSM4,1,24,0-6,1438,0.55
139,PADK,CCSM4,1,24,6-10,2354,0.9
140,PADK,CCSM4,1,24,10-14,3062,1.17
141,PADK,CCSM4,1,24,14-18,2698,1.03
142,PADK,CCSM4,1,24,18-22,1880,0.72
143,PADK,CCSM4,1,24,22+,2037,0.78
144,PADK,CCSM4,1,25,0-6,1388,0.53
145,PADK,CCSM4,1,25,6-10,2481,0.94
146,PADK,CCSM4,1,25,10-14,3075,1.17
147,PADK,CCSM4,1,25,14-18,2789,1.06
148,PADK,CCSM4,1,25,18-22,2031,0.77
149,PADK,CCSM4,1,25,22+,2335,0.89
150,PADK,CCSM4,1,26,0-6,1291,0.49
151,PADK,CCSM4,1,26,6-10,2243,0.85
152,PADK,CCSM4,1,26,10-14,2916,1.11
153,PADK,CCSM4,1,26,14-18,2617,1.0
154,PADK,CCSM4,1,26,18-22,2001,0.76
155,PADK,CCSM4,1,26,22+,2635,1.0
156,PADK,CCSM4,1,27,0-6,1282,0.49
157,PADK,CCSM4,1,27,6-10,2173,0.83
158,PADK,CCSM4,1,27,10-14,2821,1.07
159,PADK,CCSM4,1,27,14-18,2438,0.93
160,PADK,CCSM4,1,27,18-22,1985,0.76
161,PADK,CCSM4,1,27,22+,2653,1.01
162,PADK,CCSM4,1,28,0-6,1241,0.47
163,PADK,CCSM4,1,28,6-10,2120,0.81
164,PADK,CCSM4,1,28,10-14,2720,1.04
165,PADK,CCSM4,1,28,14-18,2214,0.84
166,PADK,CCSM4,1,28,18-22,1642,0.62
167,PADK,CCSM4,1,28,22+,2683,1.02
168,PADK,CCSM4,1,29,0-6,1252,0.48
169,PADK,CCSM4,1,29,6-10,1999,0.76
170,PADK,CCSM4,1,29,10-14,2431,0.93
171,PADK,CCSM4,1,29,14-18,2046,0.78
172,PADK,CCSM4,1,29,18-22,1589,0.6
173,PADK,CCSM4,1,29,22+,2088,0.79
174,PADK,CCSM4,1,30,0-6,1179,0.45
175,PADK,CCSM4,1,30,6-10,1750,0.67
176,PADK,CCSM4,1,30,10-14,2059,0.78
177,PADK,CCSM4,1,30,14-18,1670,0.64
178,PADK,CCSM4,1,30,18-22,1330,0.51
179,PADK,CCSM4,1,30,22+,1647,0.63
180,PADK,CCSM4,1,31,0-6,1217,0.46
181,PADK,CCSM4,1,31,6-10,1459,0.56
182,PADK,CCSM4,1,31,10-14,1612,0.61
183,PADK,CCSM4,1,31,14-18,1218,0.46
184,PADK,CCSM4,1,31,18-22,972,0.37
185,PADK,CCSM4,1,31,22+,1372,0.52
186,PADK,CCSM4,1,32,0-6,1114,0.42
187,PADK,CCSM4,1,32,6-10,1420,0.54
188,PADK,CCSM4,1,32,10-14,1527,0.58
189,PADK,CCSM4,1,32,14-18,1043,0.4
190,PADK,CCSM4,1,32,18-22,685,0.26
191,PADK,CCSM4,1,32,22+,984,0.37
192,PADK,CCSM4,1,33,0-6,1042,0.4
193,PADK,CCSM4,1,33,6-10,1315,0.5
194,PADK,CCSM4,1,33,10-14,1138,0.43
195,PADK,CCSM4,1,33,14-18,866,0.33
196,PADK,CCSM4,1,33,18-22,634,0.24
197,PADK,CCSM4,1,33,22+,847,0.32
198,PADK,CCSM4,1,34,0-6,868,0.33
199,PADK,CCSM4,1,34,6-10,1191,0.45
200,PADK,CCSM4,1,34,10-14,1092,0.42
201,PADK,CCSM4,1,34,14-18,766,0.29
202,PADK,CCSM4,1,34,18-22,494,0.19
203,PADK,CCSM4,1,34,22+,469,0.18
204,PADK,CCSM4,1,35,0-6,848,0.32
205,PADK,CCSM4,1,35,6-10,1022,0.39
206,PADK,CCSM4,1,35,10-14,1044,0.4
207,PADK,CCSM4,1,35,14-18,676,0.26
208,PADK,CCSM4,1,35,18-22,375,0.14
209,PADK,CCSM4,1,35,22+,430,0.16
210,PADK,CCSM4,1,0,0-6,762,0.29
211,PADK,CCSM4,1,0,6-10,883,0.34
212,PADK,CCSM4,1,0,10-14,916,0.35
213,PADK,CCSM4,1,0,14-18,699,0.27
214,PADK,CCSM4,1,0,18-22,435,0.17
215,PADK,CCSM4,1,0,22+,394,0.15
0,PADK,CCSM4,2,1,0-6,741,0.28
1,PADK,CCSM4,2,1,6-10,908,0.35
2,PADK,CCSM4,2,1,10-14,772,0.29
3,PADK,CCSM4,2,1,14-18,564,0.21
4,PADK,CCSM4,2,1,18-22,406,0.15
5,PADK,CCSM4,2,1,22+,455,0.17
6,PADK,CCSM4,2,2,0-6,728,0.28
7,PADK,CCSM4,2,2,6-10,825,0.31
8,PADK,CCSM4,2,2,10-14,692,0.26
9,PADK,CCSM4,2,2,14-18,530,0.2
10,PADK,CCSM4,2,2,18-22,403,0.15
11,PADK,CCSM4,2,2,22+,561,0.21
12,PADK,CCSM4,2,3,0-6,701,0.27
13,PADK,CCSM4,2,3,6-10,883,0.34
14,PADK,CCSM4,2,3,10-14,719,0.27
15,PADK,CCSM4,2,3,14-18,468,0.18
16,PADK,CCSM4,2,3,18-22,356,0.14
17,PADK,CCSM4,2,3,22+,397,0.15
18,PADK,CCSM4,2,4,0-6,777,0.3
19,PADK,CCSM4,2,4,6-10,820,0.31
20,PADK,CCSM4,2,4,10-14,752,0.29
21,PADK,CCSM4,2,4,14-18,525,0.2
22,PADK,CCSM4,2,4,18-22,358,0.14
23,PADK,CCSM4,2,4,22+,407,0.15
24,PADK,CCSM4,2,5,0-6,774,0.29
25,PADK,CCSM4,2,5,6-10,859,0.33
26,PADK,CCSM4,2,5,10-14,743,0.28
27,PADK,CCSM4,2,5,14-18,554,0.21
28,PADK,CCSM4,2,5,18-22,377,0.14
29,PADK,CCSM4,2,5,22+,599,0.23
30,PADK,CCSM4,2,6,0-6,727,0.28
31,PADK,CCSM4,2,6,6-10,833,0.32
32,PADK,CCSM4,2,6,10-14,781,0.3
33,PADK,CCSM4,2,6,14-18,520,0.2
34,PADK,CCSM4,2,6,18-22,459,0.17
35,PADK,CCSM4,2,6,22+,661,0.25
36,PADK,CCSM4,2,7,0-6,675,0.26
37,PADK,CCSM4,2,7,6-10,705,0.27
38,PADK,CCSM4,2,7,10-14,619,0.24
39,PADK,CCSM4,2,7,14-18,538,0.2
40,PADK,CCSM4,2,7,18-22,403,0.15
41,PADK,CCSM4,2,7,22+,616,0.23
42,PADK,CCSM4,2,8,0-6,684,0.26
43,PADK,CCSM4,2,8,6-10,752,0.29
44,PADK,CCSM4,2,8,10-14,675,0.26
45,PADK,CCSM4,2,8,14-18,483,0.18
46,PADK,CCSM4,2,8,18-22,503,0.19
47,PADK,CCSM4,2,8,22+,780,0.3
48,PADK,CCSM4,2,9,0-6,567,0.22
49,PADK,CCSM4,2,9,6-10,777,0.3
50,PADK,CCSM4,2,9,10-14,787,0.3
51,PADK,CCSM4,2,9,14-18,659,0.25
52,PADK,CCSM4,2,9,18-22,550,0.21
53,PADK,CCSM4,2,9,22+,746,0.28
54,PADK,CCSM4,2,10,0-6,543,0.21
55,PADK,CCSM4,2,10,6-10,733,0.28
56,PADK,CCSM4,2,10,10-14,855,0.33
57,PADK,CCSM4,2,10,14-18,651,0.25
58,PADK,CCSM4,2,10,18-22,508,0.19
59,PADK,CCSM4,2,10,22+,825,0.31
60,PADK,CCSM4,2,11,0-6,575,0.22
61,PADK,CCSM4,2,11,6-10,731,0.28
62,PADK,CCSM4,2,11,10-14,819,0.31
63,PADK,CCSM4,2,11,14-18,641,0.24
64,PADK,CCSM4,2,11,18-22,439,0.17
65,PADK,CCSM4,2,11,22+,780,0.3
66,PADK,CCSM4,2,12,0-6,625,0.24
67,PADK,CCSM4,2,12,6-10,781,0.3
68,PADK,CCSM4,2,12,10-14,841,0.32
69,PADK,CCSM4,2,12,14-18,601,0.23
70,PADK,CCSM4,2,12,18-22,516,0.2
71,PADK,CCSM4,2,12,22+,856,0.33
72,PADK,CCSM4,2,13,0-6,613,0.23
73,PADK,CCSM4,2,13,6-10,899,0.34
74,PADK,CCSM4,2,13,10-14,938,0.36
75,PADK,CCSM4,2,13,14-18,685,0.26
76,PADK,CCSM4,2,13,18-22,526,0.2
77,PADK,CCSM4,2,13,22+,960,0.37
78,PADK,CCSM4,2,14,0-6,677,0.26
79,PADK,CCSM4,2,14,6-10,914,0.35
80,PADK,CCSM4,2,14,10-14,1036,0.39
81,PADK,CCSM4,2,14,14-18,736,0.28
82,PADK,CCSM4,2,14,18-22,528,0.2
83,PADK,CCSM4,2,14,22+,977,0.37
84,PADK,CCSM4,2,15,0-6,771,0.29
85,PADK,CCSM4,2,15,6-10,893,0.34
86,PADK,CCSM4,2,15,10-14,1044,0.4
87,PADK,CCSM4,2,15,14-18,890,0.34
88,PADK,CCSM4,2,15,18-22,590,0.22
89,PADK,CCSM4,2,15,22+,971,0.37
90,PADK,CCSM4,2,16,0-6,862,0.33
91,PADK,CCSM4,2,16,6-10,1023,0.39
92,PADK,CCSM4,2,16,10-14,1184,0.45
93,PADK,CCSM4,2,16,14-18,991,0.38
94,PADK,CCSM4,2,16,18-22,607,0.23
95,PADK,CCSM4,2,16,22+,1096,0.42
96,PADK,CCSM4,2,17,0-6,888,0.34
97,PADK,CCSM4,2,17,6-10,1227,0.47
98,PADK,CCSM4,2,17,10-14,1351,0.51
99,PADK,CCSM4,2,17,14-18,1081,0.41
100,PADK,CCSM4,2,17,18-22,681,0.26
101,PADK,CCSM4,2,17,22+,1173,0.45
102,PADK,CCSM4,2,18,0-6,898,0.34
103,PADK,CCSM4,2,18,6-10,1266,0.48
104,PADK,CCSM4,2,18,10-14,1608,0.61
105,PADK,CCSM4,2,18,14-18,1187,0.45
106,PADK,CCSM4,2,18,18-22,735,0.28
107,PADK,CCSM4,2,18,22+,1294,0.49
108,PADK,CCSM4,2,19,0-6,929,0.35
109,PADK,CCSM4,2,19,6-10,1499,0.57
110,PADK,CCSM4,2,19,10-14,1660,0.63
111,PADK,CCSM4,2,19,14-18,1262,0.48
