,sid,month,total,calm,percent
278,PFYU,3,22800,5115,22.400000000000002
279,PFYU,4,22283,3153,14.099999999999998
280,PFYU,5,22562,2669,11.799999999999999
281,PFYU,6,21673,3616,16.7
282,PFYU,7,21951,3934,17.9
283,PFYU,8,22355,4673,20.9
284,PFYU,9,22574,4342,19.2
285,PFYU,10,24325,6908,28.4
286,PFYU,11,21307,9504,44.6
287,PFYU,12,21698,10541,48.6
288,PAMD,1,23819,386,1.6
289,PAMD,2,22349,443,2.0
290,PAMD,3,24406,530,2.1999999999999997
291,PAMD,4,24334,421,1.7000000000000002
292,PAMD,5,24839,525,2.1
293,PAMD,6,23387,533,2.3
294,PAMD,7,24027,883,3.6999999999999997
295,PAMD,8,23847,986,4.1000000000000005
296,PAMD,9,23612,491,2.1
297,PAMD,10,24252,556,2.3
298,PAMD,11,23734,403,1.7000000000000002
299,PAMD,12,24545,366,1.5
300,PAMR,1,23995,10277,42.8
301,PAMR,2,21661,9078,41.9
302,PAMR,3,24065,8544,35.5
303,PAMR,4,23396,7240,30.9
304,PAMR,5,24010,5865,24.4
305,PAMR,6,22780,4958,21.8
306,PAMR,7,24067,6325,26.3
307,PAMR,8,23887,8000,33.5
308,PAMR,9,23273,8424,36.199999999999996
309,PAMR,10,24255,9208,38.0
310,PAMR,11,23045,9452,41.0
311,PAMR,12,23834,11113,46.6
312,PANI,1,22102,5225,23.599999999999998
313,PANI,2,20877,3503,16.8
314,PANI,3,23350,3842,16.5
315,PANI,4,22751,3325,14.6
316,PANI,5,23685,3731,15.8
317,PANI,6,22850,4804,21.0
318,PANI,7,23626,5692,24.099999999999998
319,PANI,8,23379,6222,26.6
320,PANI,9,22680,5331,23.5
321,PANI,10,23638,4570,19.3
322,PANI,11,22649,4747,21.0
323,PANI,12,23518,6074,25.8
324,PAOM,1,25145,5054,20.1
325,PAOM,2,23007,3975,17.299999999999997
326,PAOM,3,25218,4562,18.099999999999998
327,PAOM,4,24690,3233,13.100000000000001
328,PAOM,5,25655,1996,7.8
329,PAOM,6,24826,1727,7.000000000000001
330,PAOM,7,25645,1786,7.000000000000001
331,PAOM,8,25761,1960,7.6
332,PAOM,9,24866,1818,7.3
333,PAOM,10,25503,2598,10.2
334,PAOM,11,24496,2850,11.600000000000001
335,PAOM,12,25388,4198,16.5
336,PACD,1,25574,888,3.5000000000000004
337,PACD,2,22894,694,3.0
338,PACD,3,25591,648,2.5
339,PACD,4,24923,590,2.4
340,PACD,5,25370,532,2.1
341,PACD,6,24905,614,2.5
342,PACD,7,25432,764,3.0
343,PACD,8,25545,739,2.9000000000000004
344,PACD,9,24583,708,2.9000000000000004
345,PACD,10,25545,657,2.6
346,PACD,11,24256,496,2.0
347,PACD,12,25701,861,3.4000000000000004
348,PAMC,1,23881,11737,49.1
349,PAMC,2,22374,9244,41.3
350,PAMC,3,25072,7522,30.0
351,PAMC,4,24353,5099,20.9
352,PAMC,5,24735,4440,18.0
